id,solution
0,April_27 College_The from_April Gondoliers_'' ''_By its_an prin_cipals an_nual ``_The to_30 Sullivan_opera ''_which 27_to perform_`` 30_. nual_Gilbert Hall_from iers_'' cipals_and ._Under opera_season Town_Hall Teachers_College Gondol_iers nine_prin Adelaide_Teachers The_Gondol ``_Gondoliers
1,at_Glenelg Spoilt_Baby 's_clown with_a Cub_Spoilt Briellos_a Adelaide_from Circus_Herts cub_born a_member Herts_Briellos visiting_South clown_act Glenelg_yesterday 8_p.m. Lion_Cub Circus_with of_Circus Baby_of p.m._with is_visiting
2,ness_said ._Malvern a_manner yester_day geant_Day Gladys_Sauerbier manner_as Wit_ness Court_yester Sauerbier_. ._Wit Malvern_. said_eer day_when eer_geant
3,effort_; a_Spanish ;_but Modane_the dier_and tangible_results Chamberlain_desires while_nonterritorial officially_stated Chamberlain_returns stated_that changes_at a_military says_`` 's_visit prove_AngloFrench formed_into Dispatch_'' that_protection territorial_changes ._Lord Be_tween of_French had_ceased the_British p.m._on that_M. )_. the_Anglo-Italian visit_to appeasement_policy AngloFrench_solidarity 4.30_p.m. to_mediation International_'' military_conference Down_ing that_France the_latters are_purely will_offer War_Council impressions_of Italy_until ceased_: how_the ing_street the_loyalists desires_to ._Be to_emphasise Foreign_Secretary the_appeasement M._Bonnet however_that Mr._Daladier of_his Dala_dier Government_to tween_the ._Dala nonterritorial_concessions Bonnet_) 10_Down Secretary_( the_Blackshirts heavy_taxation—while Tuesday_Mr. latters_impressions into_a Minister_( detesting_the be_granted said_that travelling_will Gayda_says that_Britain Daladier_'s tour_of Daladier_when like_to after_which becoming_increasingly is_becoming Guardian_'' the_Duchess
4,Eouth_Ea-st Adelaide_and rla_: tion_was J._Brad at_tended and_re Brad_shaw pro_vided was_con ._McPhc About_ninety ._J MOl'N'T_BIJRB McPhc_son ._MOl'N'T dames_F. Wil_ton land_: Danse_ley tended_the ._Danse nation_betwean ar_ranged wa_pro nations_were Malt_land second_birth ton_Martin Ho_garth ley_. sowing_will ._Wil tended_. son_Ward vened_and tional_motion Mcmo_rla WIIXMMSTOWN_A competi_tion the_chil chil_dren Inkerman_Church dent*_completed were_ar and_surrounding McDonald_presi aaair.st_. Mes_dames ninety_people coordi_nation shaw_. 88_aaair.st the_re closer_coordi following_nomi play_ground J._Spar nomi_nations cake_competi Dancing_was vided_by birth_day 's_play educa_tional collec_tion BIJRB_At ground_. dren_'s tion_taken garth_which 21st_birth ._WIIXMMSTOWN presi_dent* some_educa Spar_row signation_oi con_vened members_at at_Malt the_Mcmo was_enjoyed re_signation re_sowing Tucker_at members_of day_his the_Eouth a_collec Ea-st_stayed and_Ho day_party were_Mes ranged_by row_entertained the_Inkerman
5,raw_material wives_immediately pair_of factors_involved was_announced p.c_. worthy_of involved_had announced_last 7/-_on by_Actil £4_14/- material_costs that_the approximately_7/- said_that cases_was 14/-_and 10_p.c ._The about_11d last_night Actil_Cuts 11d_. was_now house_wives Actil_last 4/-_a Cuts_Price was_worthy director_of of_Australian examination_of and_examination £4_4/- to_house
6,le:2h_; KrlirulPte_. Bun_bury Bf_2rave ported_prisoner of_KrlirulPte Wes_ton reporvd_mlfsir.g danCrjl_. W_Cherks Gib_bons viously_reported Cherks_r.e re_ported Bruns_wick Australian_pre Inr.._Bruns lian_list H_Gib Austra_lian 2rave_: Oal-_. Su_biaco Inf_YouanmiPte ._le:2h alLeCpl_. ._pre YouanmiPte_. West_Leeder Vic_tor Leeder_vllle E._Dela wick_Junction borowie_. Harbor_. Bart_lett Inf._Lox McX_David NSW._danCrjl P._Bart '_Bf bons_. Believed_Pri :_Boorlic Inf.._Kil Western_Austra Boorlic_; Eng._Ade Inr.._Su Pri_soner nire_re toria_Park Dela_portt bury_: Ade_alLeCpl Inf._Boo Kil_kenny ''_Missing Vic_toria biaco_; vllle_: soner_Of Boo_borowie lett_. son_. David_son Lox_ton pre_reporvd :_Oal- pre_viously r.e_! portt_. tor_Harbor Inf.._Bun Inf.._Vic H._Wes Eng.._Vic kenny_i
7,season_E. Years_Ago railway_workshops ._TO ISLINGTON_railway coach_South Ago_ISLINGTON TO_coach
8,and_Quartermaster Keswick_Barracks ment_at Regi_ment Army_Expansion from_Keswick Engineer_Regi Hill_Army Quartermaster_-
9,Per_ponda E._John Mad_dern L._McFarlane tirivT'-_^.liiiriinr Bordertown_15.11. Skipworth_( ._Goal -irji_P L._Mad ._Per Dab_lnett ney_. Serviceton_11.14 Copeland_( ciation_— Coombe_Bordertown Murch_C. Warriors-_R. 3_) Asso_ciation Rolch_-irji Sparrow_Geier ;_Mcnm c._Rolch Gurney_( (_4 (_2 'o_Fit7 Vic_toria (_5 Bordertown_— miership_for 2_) tnitcd_-'The Centrals_— )_M. 5_) Geier_L. McFarlane_J. M._Hodg W_Gardiner klckers_: Goal_tirivT'- (_3 )_C. ponda_. lnett_. Wiese_; Fit7_s.ni-niuv Hodg_Mn ol_Wai football_pre Gardiner_P. Gur_ney As_sociation— pre_miership son_. Tatiara_Association Tuck_W Wai_la^oo sociation—_The A._Dab 4_) R._Scar- Mcnm_gie Fei_h John_son Port_Vic dern_. Mn_2 —_Tatiara la^oo_( toria_has prr_tnitcd Goal_klckers South-Eastern_Asso gie_— i_prr s.ni-niuv_. )_R. at_Bordertown h_? Football_As ._Fei G_Gur
